Genename,identifier
DCV1,1569
YFR012W-A,1570
IOC3,1571
CMK1,1572
GSY1,1573
YFR016C,1574
IGD1,1575
YFR018C,1576
FAB1,1577
CSS2,1578
ATG18,1579
ROG3,1580
PES4,1581
LSB3,1582
HIS2,1583
ULI1,1584
ECO1,1585
CDC14,1586
PTR3,1587
MET10,1588
SMC2,1589
RPL2A,1590
RRT5,1591
RPL29,1592
QCR6,1593
PHO4,1594
YFR035C,1595
CDC26,1596
RSC8,1597
IRC5,1598
OSW7,1599
SAP155,1600
ERJ5,1601
KEG1,1602
IRC6,1603
DUG1,1604
YFR045W,1605
CNN1,1606
BNA6,1607
RMD8,1608
YMR31,1609
PRE4,1610
RET2,1611
RPN12,1612
HXK1,1613
YFR054C,1614
YFR056C,1615
IRC7,1616
YFR057W,1617
COS12,1618
YGL262W,1619
PAU11,1620
YGL260W,1621
YPS5,1622
YGL258W-A,1623
VEL1,1624
MNT2,1625
ADH4,1626
ZRT1,1627
FZF1,1628
HXK2,1629
RTG2,1630
HFM1,1631
RMR1,1632
ZIP2,1633
PDE1,1634
BRR6,1635
RAI1,1636
GUS1,1637
RTF1,1638
TAD1,1639
YGL242C,1640
KAP114,1641
DOC1,1642
YGL239C,1643
CSE1,1644
HAP2,1645
MTO1,1646
YGL235W,1647
"ADE5,7",1648
SEC15,1649
TAN1,1650
EMC4,1651
YGL230C,1652
SAP4,1653
SHE10,1654
VID30,1655
OST5,1656
MTC3,1657
VRG4,1658
SDT1,1659
COG1,1660
EDC1,1661
NIF3,1662
BOL2,1663
MDM34,1664
YGL218W,1665
YGL217C,1666
KIP3,1667
CLG1,1668
YGL214W,1669
SKI8,1670
VAM7,1671
NCS6,1672
YPT32,1673
MIG2,1674
SIP2,1675
SPT16,1676
CHC1,1677
POX1,1678
YGL204C,1679
KEX1,1680
ARO8,1681
MCM6,1682
EMP24,1683
YGL199C,1684
YIP4,1685
MDS3,1686
DSD1,1687
GCN1,1688
HOS2,1689
YGL193C,1690
IME4,1691
COX13,1692
CDC55,1693
RPS26A,1694
YGL188C,1695
COX4,1696
TPN1,1697
YGL185C,1698
STR3,1699
MND1,1700
YGL182C,1701
GTS1,1702
ATG1,1703
TOS3,1704
MPT5,1705
YGL177W,1706
YGL176C,1707
SAE2,1708
BUD13,1709
XRN1,1710
NUP49,1711
ROK1,1712
SPO74,1713
SUA5,1714
HUR1,1715
PMR1,1716
CUP2,1717
YGL165C,1718
YRB30,1719
RAD54,1720
SUT1,1721
YIP5,1722
AIM14,1723
YGL159W,1724
RCK1,1725
ARI1,1726
AMS1,1727
CDC43,1728
LYS5,1729
PEX14,1730
YGL152C,1731
NUT1,1732
INO80,1733
YGL149W,1734
ARO2,1735
RPL9A,1736
RRT6,1737
TIP20,1738
ROG1,1739
MRF1,1740
GPI10,1741
HUL5,1742
YGL140C,1743
FLC3,1744
YGL138C,1745
SEC27,1746
MRM2,1747
RPL1B,1748
PCL10,1749
ITC1,1750
YGL132W,1751
SNT2,1752
CEG1,1753
RSM23,1754
CWC23,1755
SOH1,1756
SCS3,1757
MET13,1758
MON1,1759
RPS2,1760
NAB2,1761
GPG1,1762
PRP43,1763
COQ8,1764
YGL118C,1765
YGL117W,1766
CDC20,1767
SNF4,1768
YGL114W,1769
SLD3,1770
TAF6,1771
NSA1,1772
CUE3,1773
YGL109W,1774
YGL108C,1775
RMD9,1776
MLC1,1777
ARC1,1778
VPS73,1779
RPL28,1780
YGL102C,1781
YGK1,1782
SEH1,1783
LSG1,1784
USE1,1785
SRM1,1786
TOS8,1787
VPS45,1788
PAN2,1789
SPC105,1790
NUP145,1791
NBP35,1792
LIF1,1793
MF(ALPHA)2,1794
YGL088W,1795
MMS2,1796
MAD1,1797
LCL3,1798
GUP1,1799
SCY1,1800
YGL082W,1801
YGL081W,1802
MPC1,1803
KXD1,1804
DBP3,1805
HNM1,1806
RPL7A,1807
MPS2,1808
YGL074C,1809
HSF1,1810
YGL072C,1811
AFT1,1812
RPB9,1813
YGL069C,1814
MNP1,1815
NPY1,1816
SGF73,1817
ALG2,1818
MRH4,1819
PUS2,1820
PYC1,1821
DUO1,1822
YBP2,1823
PKP2,1824
RAD6,1825
GEP7,1826
